brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,1871.05,2,3,0
Lenovo,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,2105.95,3,65,5
Lenovo,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,2159.95,3,8,1
ASUS,Intel,Core i5,10.0,8,DDR4,512,0,Windows,32,2,Casual,0,No,No,3779.46,3,0,0
ASUS,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,1457.46,3,0,0
ASUS,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,1241.46,3,0,0
ASUS,Intel,Celeron Dual,,4,DDR4,0,512,Windows,32,0,Casual,0,No,No,1187.46,3,31,3
ASUS,Intel,Core i5,10.0,8,DDR4,0,1024,Windows,32,2,Casual,0,No,No,3175.15,3,0,0
Lenovo,Intel,Core i5,10.0,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,2699.95,3,0,0
acer,AMD,Ryzen 5,10.0,4,DDR4,0,512,Windows,32,4,Casual,0,No,No,3239.46,4,1946,240
acer,AMD,Ryzen 5,10.0,4,DDR4,0,512,Windows,32,6,Casual,0,No,No,5059.8,4,259,47
acer,AMD,Ryzen 5,10.0,4,DDR4,0,512,Windows,32,4,Casual,0,No,No,3941.46,4,425,67
Avita,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,944.46,3,1120,196
ASUS,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,1241.46,3,0,0
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,Casual,0,No,No,1943.46,3,0,0
HP,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,3050.46,3,0,0
HP,Intel,Core i5,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,3531.06,3,0,0
Lenovo,Intel,Celeron Dual,,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,1727.95,4,286,19
HP,Intel,Celeron Dual,,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,1754.46,4,58,6
Lenovo,Intel,Celeron Dual,,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,1717.15,3,0,0
ASUS,Intel,Celeron Dual,,4,DDR4,256,0,Windows,64,0,Casual,0,No,No,1614.06,4,7,0
ASUS,Intel,Celeron Dual,,4,DDR4,0,1024,Windows,64,0,Casual,1,No,No,1295.46,3,15279,1947
HP,Intel,Core i3,7.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,1779.57,4,311,27
HP,Intel,Core i5,7.0,4,DDR4,0,1024,Windows,32,2,Casual,0,No,No,2494.8,4,47,7
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,1859.17,4,37,6
Lenovo,Intel,Core i3,10.0,8,DDR4,256,0,Windows,32,0,ThinNlight,2,No,Yes,2051.46,4,2080,235
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,32,0,Casual,1,No,Yes,1943.46,4,1479,181
ASUS,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,1834.92,4,67,3
HP,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,2159.46,4,273,30
DELL,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,2132.46,4,1267,171
HP,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,2915.46,4,14,0
acer,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,2105.46,3,0,0
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,2051.46,4,284,39
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,2046.06,4,44,5
Lenovo,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,2105.46,4,33,4
Lenovo,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,2051.46,4,286,36
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,2267.46,3,10,5
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,2483.46,4,816,147
Lenovo,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,2159.46,4,543,65
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,2294.46,4,9,1
DELL,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,1997.46,4,1178,137
Lenovo,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,2915.46,4,299,41
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,1997.46,4,20,1
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,Casual,2,No,No,2102.76,4,758,64
DELL,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,2132.46,4,634,64
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,2483.46,4,816,147
Lenovo,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,2159.95,5,4,0
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,2321.46,4,17,2
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,2699.46,4,24,5
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,2240.46,4,1753,165
