Street,City,Area_detail,Rooms,Bathrooms,Parking_spaces,Price,Is_mensal,Neighborhood
Avenida Itacira,São Paulo,1000,4,8,6,7000000,False,Planalto Paulista
Rua Aurelia Perez Alvarez,São Paulo,524,6,6,4,3700000,False,Jardim dos Estados
Rua Alba Valdez,São Paulo,125,4,3,2,380000,False,Jardim Reimberg
,São Paulo,310,3,2,4,685000,False,Jardim Morumbi
Rua Tobias Barreto,São Paulo,100,3,2,2,540000,False,Mooca
Rua Graham Bell,São Paulo,440,4,4,6,1980000,False,Santo Amaro
Rua Francisco Paulo,São Paulo,145,4,4,2,850000,False,Cidade Mãe do Céu
Rua Guilherme Valente,São Paulo,150,2,2,2,450000,False,Jardim Vergueiro
Rua Sagrada Família,São Paulo,50,2,1,1,199900,False,Jardim Benfica
Rua Tapaji,São Paulo,114,3,3,2,585000,False,Vila Alpina
Rua Vigário João Álvares,São Paulo,261,4,4,3,700000,False,Vila Monumento
,São Paulo,436,4,3,3,15000,False,Jardim Luzitânia
Rua Tuim,São Paulo,193,3,3,2,2500000,False,Vila Uberabinha
Rua Antônio Pereira Mendes,São Paulo,251,3,5,4,1700000,False,Jardim Prudência
Rua João Antunes Carvalho,São Paulo,300,4,5,4,1150000,False,Lauzane Paulista
Rua Rúben Dario Almonacid,Cotia,500,3,5,6,1999000,False,São Paulo II
Rua Timbé,São Paulo,135,3,3,2,550000,False,Jardim Santa Maria
Rua João Tauler,São Paulo,180,4,2,4,420000,False,Vila Nova
Rua Alice Garcia Vega,São Paulo,300,3,5,4,2232000,False,Itaberaba
Rua Graham Bell,São Paulo,772,7,7,6,2700000,False,Santo Amaro
Avenida Antônio Joaquim de Moura Andrade,São Paulo,605,3,3,4,4190000,False,Vila Nova Conceição
Rua Marcos Fernandes,São Paulo,110,3,2,5,860000,False,Jardim da Saúde
Estrada Tenente Marques,Santana de Parnaíba,95,3,2,2,375000,False,Vila Poupança
Rua José Leão dos Santos,São Paulo,250,4,4,4,650000,False,Jardim Santo Antônio
Rua Jaime Pinto Ferreira,São Paulo,120,2,1,1,490000,False,Vila Mazzei
Rua Aldo de Azevedo,São Paulo,170,2,2,1,1485000,False,Vila Madalena
Rua Antônio Wey,São Paulo,250,3,1,5,650000,False,Jardim Ivana
Rua João Francisco de Moura,São Paulo,110,3,3,2,550000,False,Vila Campo Grande
Rua Serra de Botucatu,São Paulo,120,3,2,2,1100000,False,Vila Gomes Cardim
Rua Andrade Neves,São Paulo,502,4,6,4,2985000,False,Bela Aliança
Rua Japeacaba,São Paulo,268,3,6,4,1700000,False,Vila Albertina
Rua Senador Vergueiro,São Paulo,355,4,7,4,3100000,False,Santo Amaro
Rua dos Plátanos,São Paulo,1195,4,4,6,8700000,False,Cidade Jardim
,São Paulo,220,4,4,3,849000,False,Parque da Lapa
Rua Domingos Menezes,São Paulo,320,5,4,6,890000,False,Vila Libanesa
Rua Manuel Monteiro,São Paulo,180,3,3,4,550000,False,Cidade Domitila
Rua Serra da Sentinela,São Paulo,325,4,6,3,1650000,False,Vila Nova Savoia
Avenida Maria Estela,São Paulo,110,2,1,1,445000,False,Jardim Maria Estela
Rua Professor Ciro Formicola,São Paulo,125,2,1,2,425000,False,Parque São Rafael
Rua Elias Gannam,São Paulo,120,2,3,2,500000,False,Vila Bandeirantes
Rua Zacarias de Gois,São Paulo,138,3,1,3,1060000,False,Parque Colonial
Rua Gregório Paes de Almeida,São Paulo,401,5,9,4,3890000,False,Vila Madalena
Avenida das Magnólias,São Paulo,420,4,4,4,2200000,False,Cidade Jardim
Rua Mata Machado,São Paulo,260,4,4,4,1250000,False,Vila Califórnia
Rua Alfonso de Albuquerque,São Paulo,200,3,5,3,1250000,False,Jardim das Imbuias
Rua Vicente Góes e Aranha,São Paulo,463,4,6,6,2200000,False,Vila Tramontano
Avenida Presidente Tancredo Neves,São Paulo,132,2,1,1,390000,False,Vila Nancy
Rua Antônio Assumpção,São Paulo,154,2,4,4,650000,False,Parada Inglesa
Rua Lauro Luchesi,São Paulo,300,4,4,3,1600000,False,Jardim Leonor Mendes de Barros
Rua Artur Montenegro,A,250,2,2,2,370000,False,
Avenida Dom Rodrigo Sanches,São Paulo,120,2,2,1,130000,False,Jardim Amália
Rua Domingos de Braga,São Paulo,110,3,3,2,545000,False,Vila dos Remédios
Rua Kansas,São Paulo,180,3,3,3,1100000,False,Brooklin Paulista
Rua Comendador Armando Pereira,São Paulo,151,3,3,8,520000,False,Tremembé
Rua Santo Adauto,São Paulo,170,3,2,2,325000,False,Vila Minerva
Rua dos Maracujás,São Paulo,211,4,7,8,890000,False,Vila Mazzei
Avenida Raimundo Pereira de Magalhães,São Paulo,102,3,4,2,409000,False,Pirituba
Rua Nicolau Barreto,São Paulo,177,3,5,2,1500000,False,Vila Cordeiro
,São Paulo,190,2,2,2,1100000,False,Chácara Santo Antônio
,São Paulo,650,4,6,4,5500000,False,Jardim Guedala
Rua Tomé Souza,Jacareí,126,3,2,2,312000,False,Santa Cruz dos Lázaros
Rua Salvador Fontoura,São Paulo,210,3,2,6,250000,False,Parque Boturussu
,São Paulo,200,4,3,2,775000,False,Vila Arriete
Rua Inglaterra,São Paulo,200,3,3,2,13000,False,Jardim Europa
Rua Peribebuí,São Paulo,440,4,6,7,2200000,False,Alto da Lapa
Avenida João XXIII,São Paulo,225,2,2,2,780000,False,Vila Formosa
Rua Taiaçupeba,São Paulo,350,3,5,6,980000,False,Quinta da Paineira
Rua Coronel Virgílio dos Santos,São Paulo,220,3,3,2,750000,False,Vila Jaguara
Rua Áurea Graciliana Dias,São José dos Campos,249,4,3,2,1290000,False,Condomínio Residencial Monaco
Rua da Paz,São Paulo,386,4,4,5,1680000,False,Alto da Boa Vista
Rua Major Alfredo Romão,São Paulo,99,3,2,2,650000,False,Vila Clarice
Rua Bolívia,São Paulo,663,4,7,6,14500000,False,Jardim América
Rua General Fonseca Teles,São Paulo,420,4,6,3,8700000,False,Jardim Paulista
Rua Pataíba,São Paulo,211,3,3,3,1237000,False,Tucuruvi
Rua Doutor Milton de Souza Meirelles,São Paulo,180,3,4,4,950000,False,Parque Continental
Avenida Amador Bueno da Veiga,São Paulo,150,4,1,5,510000,False,Penha de França
Rua Maria Tereza Farabulini Rodrigues,São Paulo,200,3,5,3,1500000,False,Parque Continental
Rua Doutor Franco da Rocha,São Paulo,452,4,6,2,4240000,False,Perdizes
Rua Caetano Braga,São Paulo,129,3,2,2,490000,False,Conjunto Residencial José Bonifácio
Rua Francisco de Paula Brito,São Paulo,250,3,4,4,2190000,False,Planalto Paulista
Rua dos Comerciários,São Paulo,250,3,3,5,2180000,False,Cidade Vargas
Rua Francisco Correia Dutra,São Paulo,152,2,3,2,398000,False,Jardim Maria Luiza
Rua Joaquim de Almeida,São Paulo,192,4,2,2,950000,False,Mirandópolis
Rua Elisa Rodrigues,São Paulo,184,4,3,4,1390000,False,Planalto Paulista
Rua José Sebastião de Sá,São Paulo,100,2,2,1,530000,False,Jardim do Carmo
Rua Amandaba,São Paulo,253,4,4,2,1280000,False,Jardim Prudência
Rua Cordisburgo,São Paulo,850,4,8,6,6500000,False,Jardim Leonor
Estrada José Ribeiro Leite,Sorocaba,47,2,1,2,188200,False,Ipatinga
Rua Carlos Rath,São Paulo,400,5,4,4,2900000,False,Alto de Pinheiros
,São Paulo,358,4,4,4,3500000,False,Alto de Pinheiros
Rua Luís Ramos Figueira,São Paulo,140,3,4,2,775000,False,Vila Suzana
Rua dos Aliados,São Paulo,500,5,7,7,3500000,False,Alto da Lapa
,São Paulo,119,2,2,2,670000,False,Planalto Paulista
,São Paulo,650,4,7,4,3500000,False,Jardim Guedala
Rua Benedito Antonio de Campos,Boituva,78,2,2,1,298000,False,Residencial de Lorenzi
Rua Doutor Nicolau Asprino Júnior,São Paulo,250,3,3,3,1500000,False,Vila Brasílio Machado
Rua José Barbosa,São Paulo,84,3,3,2,470000,False,Jardim das Vertentes
Rua Iagari,São Paulo,243,3,5,3,2400000,False,Alto da Lapa
Rua Júlio Rua Perez,São Paulo,145,4,3,2,1350000,False,Campo Belo
Rua Marechal Barbacena,São Paulo,150,3,2,2,800000,False,Vila Regente Feijó
Rua Plínio Mota,São Paulo,240,3,3,7,890000,False,Vila Tolstoi
Rua Belarmino Cardoso de Andrade,São Paulo,167,3,4,2,630000,False,Terceira Divisão de Interlagos
