brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,34649,2,3,0
Lenovo,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,38999,3,65,5
Lenovo,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,39999,3,8,1
ASUS,Intel,Core i5,10.0,8,DDR4,512,0,Windows,32,2,Casual,0,No,No,69990,3,0,0
ASUS,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,26990,3,0,0
ASUS,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,22990,3,0,0
ASUS,Intel,Celeron Dual,,4,DDR4,0,512,Windows,32,0,Casual,0,No,No,21990,3,31,3
ASUS,Intel,Core i5,10.0,8,DDR4,0,1024,Windows,32,2,Casual,0,No,No,58799,3,0,0
Lenovo,Intel,Core i5,10.0,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,49999,3,0,0
acer,AMD,Ryzen 5,10.0,4,DDR4,0,512,Windows,32,4,Casual,0,No,No,59990,4,1946,240
acer,AMD,Ryzen 5,10.0,4,DDR4,0,512,Windows,32,6,Casual,0,No,No,93700,4,259,47
acer,AMD,Ryzen 5,10.0,4,DDR4,0,512,Windows,32,4,Casual,0,No,No,72990,4,425,67
Avita,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,17490,3,1120,196
ASUS,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,22990,3,0,0
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,Casual,0,No,No,35990,3,0,0
HP,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,56490,3,0,0
HP,Intel,Core i5,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,65390,3,0,0
Lenovo,Intel,Celeron Dual,,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,31999,4,286,19
HP,Intel,Celeron Dual,,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,32490,4,58,6
Lenovo,Intel,Celeron Dual,,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,31799,3,0,0
ASUS,Intel,Celeron Dual,,4,DDR4,256,0,Windows,64,0,Casual,0,No,No,29890,4,7,0
ASUS,Intel,Celeron Dual,,4,DDR4,0,1024,Windows,64,0,Casual,1,No,No,23990,3,15279,1947
HP,Intel,Core i3,7.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,32955,4,311,27
HP,Intel,Core i5,7.0,4,DDR4,0,1024,Windows,32,2,Casual,0,No,No,46200,4,47,7
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,34429,4,37,6
Lenovo,Intel,Core i3,10.0,8,DDR4,256,0,Windows,32,0,ThinNlight,2,No,Yes,37990,4,2080,235
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,32,0,Casual,1,No,Yes,35990,4,1479,181
ASUS,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,33980,4,67,3
HP,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,39990,4,273,30
DELL,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,39490,4,1267,171
HP,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,53990,4,14,0
acer,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,38990,3,0,0
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,37990,4,284,39
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,37890,4,44,5
Lenovo,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,38990,4,33,4
Lenovo,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,37990,4,286,36
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,41990,3,10,5
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,45990,4,816,147
Lenovo,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,39990,4,543,65
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,42490,4,9,1
DELL,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,36990,4,1178,137
Lenovo,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,53990,4,299,41
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,36990,4,20,1
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,Casual,2,No,No,38940,4,758,64
DELL,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,39490,4,634,64
