processor_gnrtn,ram_gb,ssd,hdd,os_bit,graphic_card_gb,warranty,Price,rating,Number of Ratings,Number of Reviews,processor_brand_Intel,processor_brand_M1,os_Mac,os_Windows,weight_Gaming,weight_ThinNlight,Touchscreen_Yes,msoffice_Yes,brand,processor_name,ram_type
11.0,16,512,0,64,0,1,3563.46,3,0,0,True,False,False,True,False,False,False,False,4286.282336192113,4093.8248245974155,3886.8542226148415
,4,512,0,64,0,1,2429.46,4,313,39,False,False,False,True,False,False,False,False,4023.2208195732223,3348.585844303271,3886.8542226148415
,4,512,0,32,4,0,3909.6,3,0,0,False,False,False,True,False,False,False,False,4286.282336192113,4721.051851405187,3886.8542226148415
10.0,8,0,1024,64,2,0,4535.46,3,0,0,True,False,False,True,False,False,False,False,4286.282336192113,4093.8248245974155,3886.8542226148415
11.0,8,512,0,32,0,1,3941.46,4,76,14,True,False,False,True,False,False,False,True,4286.282336192113,4093.8248245974155,5584.356976452875
10.0,8,512,0,64,0,0,4589.46,3,0,0,True,False,False,True,False,False,False,False,4286.282336192113,4093.8248245974155,5102.727054802042
10.0,4,256,0,64,0,1,2159.46,4,44,2,True,False,False,True,False,True,False,False,3334.394345729281,2297.5713661474792,3886.8542226148415
10.0,4,0,1024,32,0,0,1921.86,3,12,1,True,False,False,True,False,True,False,False,4286.282336192113,2297.5713661474792,3886.8542226148415
11.0,8,512,0,64,6,1,4805.46,3,0,0,True,False,False,True,False,False,False,False,4286.282336192113,4093.8248245974155,3886.8542226148415
10.0,8,512,0,64,0,1,2699.46,3,0,0,True,False,False,True,False,True,False,False,3897.8312317176433,4093.8248245974155,3886.8542226148415
,8,0,1024,64,0,1,1943.46,4,59,12,False,False,False,True,False,True,False,True,3334.394345729281,3073.353869519215,3886.8542226148415
11.0,8,512,0,64,0,1,4211.46,4,31,5,True,False,False,True,False,False,True,True,3334.394345729281,4093.8248245974155,3886.8542226148415
10.0,8,0,512,32,0,0,5086.26,4,31,6,True,False,False,False,False,False,False,False,4023.2208195732223,4093.8248245974155,4368.059535501012
9.0,8,256,1024,64,4,0,2942.46,4,343,47,True,False,False,True,True,False,False,False,4286.282336192113,4093.8248245974155,3886.8542226148415
10.0,8,0,512,32,4,0,5917.86,4,5,2,True,False,False,False,False,False,False,False,5077.412051365493,4093.8248245974155,4368.059535501012
11.0,8,0,1024,64,0,0,2278.26,3,250,21,True,False,False,True,False,True,False,False,3334.394345729281,2297.5713661474792,3886.8542226148415
8.0,8,512,0,64,0,0,2429.46,3,17,3,True,False,False,True,False,True,False,False,3944.7561169073256,4093.8248245974155,3886.8542226148415
10.0,8,512,0,64,2,1,4697.95,4,3,0,True,False,False,True,False,False,True,True,3897.8312317176433,4093.8248245974155,3886.8542226148415
11.0,16,512,0,64,4,0,5129.46,4,118,15,True,False,False,True,True,False,False,False,4286.282336192113,6384.654678936433,3886.8542226148415
10.0,4,256,0,64,0,0,1970.46,3,0,0,True,False,False,True,False,True,False,False,3897.8312317176433,2297.5713661474792,3886.8542226148415
10.0,8,0,1024,32,0,1,2634.66,3,11,1,True,False,False,True,False,False,False,True,3898.3903195266953,4093.8248245974155,3886.8542226148415
10.0,16,1024,0,64,0,1,12203.46,4,42,8,False,True,True,False,False,False,False,False,6347.897611948667,5945.3868836516585,3886.8542226148415
8.0,8,512,0,64,0,0,3945.4,3,17,3,True,False,False,True,False,True,False,False,3944.7561169073256,4093.8248245974155,3886.8542226148415
11.0,16,1024,0,64,0,1,8910.0,3,0,0,True,False,False,True,False,False,True,False,3898.3903195266953,6384.654678936433,5584.356976452875
,4,512,0,64,0,0,3509.46,3,0,0,False,False,False,True,False,False,False,False,5077.412051365493,4721.051851405187,3886.8542226148415
,16,512,0,64,0,1,3645.0,4,196,19,False,False,False,True,False,True,False,True,3898.3903195266953,3348.585844303271,3886.8542226148415
11.0,8,512,0,64,0,1,4023.0,4,45,5,True,False,False,True,False,False,True,True,3334.394345729281,4093.8248245974155,3886.8542226148415
11.0,16,1024,0,64,4,0,6587.46,3,0,0,True,False,False,True,False,False,False,False,3898.3903195266953,6384.654678936433,3886.8542226148415
10.0,4,256,0,64,0,1,1943.46,3,0,0,True,False,False,True,False,False,False,False,4286.282336192113,2297.5713661474792,3886.8542226148415
10.0,16,1024,0,64,6,1,14579.46,4,8,1,True,False,False,True,False,False,True,False,4286.282336192113,5925.627502540141,3886.8542226148415
,4,512,0,32,4,3,4400.46,3,0,0,True,False,False,True,False,False,False,True,3897.8312317176433,4721.051851405187,3886.8542226148415
10.0,16,256,0,64,0,1,5669.46,4,45,4,False,True,True,False,False,False,False,False,6347.897611948667,5945.3868836516585,3886.8542226148415
11.0,16,512,0,64,6,1,4481.46,4,262,31,True,False,False,True,False,False,False,True,4286.282336192113,4093.8248245974155,3886.8542226148415
,8,512,0,64,4,1,3941.46,4,16,4,False,False,False,True,False,False,False,True,3898.3903195266953,3348.585844303271,3886.8542226148415
,16,512,0,64,2,1,3455.46,4,90,13,False,False,False,True,False,False,False,True,3898.3903195266953,3348.585844303271,3886.8542226148415
8.0,8,512,0,64,2,1,3239.95,4,22,3,True,False,False,True,False,False,False,True,3897.8312317176433,4093.8248245974155,3886.8542226148415
10.0,16,512,0,64,4,1,4319.46,3,0,0,True,False,False,True,False,False,False,False,3334.394345729281,4093.8248245974155,3886.8542226148415
8.0,8,256,0,64,0,1,4427.89,4,14,3,True,False,False,True,False,True,True,True,4023.2208195732223,4093.8248245974155,4410.68310640088
,4,1024,0,64,0,1,5669.46,4,14,2,False,False,False,True,False,False,False,False,4286.282336192113,5895.372838905774,3886.8542226148415
,16,512,0,64,4,1,4319.46,3,0,0,False,False,False,True,False,False,False,False,4286.282336192113,4721.051851405187,3886.8542226148415
11.0,8,512,0,64,0,1,2321.46,4,30,4,True,False,False,True,False,False,False,False,4286.282336192113,2297.5713661474792,3886.8542226148415
,4,512,0,32,0,0,2828.52,3,0,0,False,False,False,True,False,False,False,False,3898.3903195266953,3348.585844303271,3886.8542226148415
11.0,4,256,1024,64,0,1,2375.46,3,0,0,True,False,False,True,False,True,False,True,3334.394345729281,2297.5713661474792,3886.8542226148415
,4,256,0,64,0,1,1781.46,4,7,1,True,False,False,True,False,True,False,True,4286.282336192113,3555.7215701127607,3886.8542226148415
,4,512,0,64,0,0,1889.46,3,0,0,False,False,False,True,False,False,False,False,4023.2208195732223,3073.353869519215,3886.8542226148415
,8,256,0,64,0,1,1943.46,4,2886,375,False,False,False,True,False,True,False,False,4286.282336192113,3073.353869519215,3886.8542226148415
7.0,8,0,1024,64,2,0,2661.07,4,38,3,True,False,False,True,False,False,False,False,3898.3903195266953,2297.5713661474792,3886.8542226148415
10.0,4,256,0,64,0,2,2159.95,3,0,0,True,False,False,True,False,False,False,True,3897.8312317176433,2297.5713661474792,3886.8542226148415
11.0,8,512,0,64,0,1,3779.46,4,10,2,True,False,False,True,False,True,False,True,3897.8312317176433,4093.8248245974155,3886.8542226148415
10.0,8,0,1024,64,0,1,1943.46,4,2124,233,True,False,False,True,False,True,False,True,3897.8312317176433,2297.5713661474792,3886.8542226148415
10.0,4,256,0,64,0,1,2132.46,4,634,64,True,False,False,True,False,False,False,True,3334.394345729281,2297.5713661474792,3886.8542226148415
10.0,4,256,0,32,0,0,2159.46,3,0,0,True,False,False,True,False,False,False,False,4286.282336192113,2297.5713661474792,3886.8542226148415
11.0,8,512,0,64,0,1,3023.95,4,6,0,True,False,False,True,False,True,False,False,4023.2208195732223,4093.8248245974155,3886.8542226148415
11.0,8,512,0,64,2,1,4319.46,4,5,0,True,False,False,True,False,False,True,True,3334.394345729281,4093.8248245974155,3886.8542226148415
10.0,8,512,0,64,2,1,3823.09,4,21,3,True,False,False,True,False,False,False,True,3897.8312317176433,4093.8248245974155,5584.356976452875
11.0,8,512,0,32,0,1,3239.95,4,4,1,True,False,False,True,False,True,False,True,3898.3903195266953,4093.8248245974155,3886.8542226148415
11.0,8,0,1024,64,0,1,2359.26,4,4999,490,True,False,False,True,False,True,False,True,3898.3903195266953,2297.5713661474792,3886.8542226148415
11.0,8,256,0,64,0,1,2619.0,3,0,0,True,False,False,True,False,False,False,False,3334.394345729281,2297.5713661474792,3886.8542226148415
10.0,8,0,1024,64,0,0,1781.46,2,12,0,True,False,False,True,False,False,False,False,4286.282336192113,2297.5713661474792,3886.8542226148415
11.0,8,0,1024,32,0,0,2239.92,3,25,4,True,False,False,True,False,False,False,False,3334.394345729281,2297.5713661474792,3886.8542226148415
11.0,8,256,0,64,0,1,2159.46,4,273,30,True,False,False,True,False,True,False,True,3898.3903195266953,2297.5713661474792,3886.8542226148415
10.0,8,0,1024,64,0,1,2537.46,4,1444,179,True,False,False,True,False,True,False,False,4286.282336192113,4093.8248245974155,3886.8542226148415
,4,0,512,64,0,0,1403.46,3,84,16,True,False,False,True,False,False,False,False,3897.8312317176433,2656.9791264747573,5584.356976452875
10.0,16,1024,0,64,0,1,9719.46,4,13,5,True,False,False,True,False,False,True,False,3898.3903195266953,6384.654678936433,3886.8542226148415
11.0,16,1024,0,64,2,1,5669.46,3,0,0,True,False,False,True,False,False,True,True,4286.282336192113,6384.654678936433,5584.356976452875
,4,0,1024,64,0,1,2375.46,3,0,0,False,False,False,True,False,False,False,False,3334.394345729281,3073.353869519215,3886.8542226148415
10.0,4,0,1024,64,0,1,1943.46,3,17,0,True,False,False,True,False,False,False,False,4286.282336192113,2297.5713661474792,3886.8542226148415
8.0,8,0,1024,64,0,0,4427.46,3,0,0,True,False,False,True,False,True,False,False,4286.282336192113,4093.8248245974155,3886.8542226148415
11.0,8,512,0,64,0,1,3294.0,4,1124,100,True,False,False,True,False,True,False,True,3898.3903195266953,4093.8248245974155,3886.8542226148415
11.0,8,0,1024,64,0,1,2100.6,3,13,0,True,False,False,True,False,False,False,False,4286.282336192113,2297.5713661474792,3886.8542226148415
10.0,16,512,0,64,4,2,4319.46,4,484,56,True,False,False,True,False,False,False,False,5077.412051365493,6384.654678936433,3886.8542226148415
,4,0,512,32,0,0,1187.46,3,31,3,True,False,False,True,False,False,False,False,4286.282336192113,2656.9791264747573,3886.8542226148415
11.0,16,1024,0,64,0,0,5399.46,3,0,0,True,False,False,True,False,True,False,False,4286.282336192113,6384.654678936433,5584.356976452875
10.0,8,0,512,32,4,0,4697.46,4,218,27,True,False,False,False,False,False,False,False,5077.412051365493,4093.8248245974155,4368.059535501012
10.0,8,512,0,64,4,1,3563.46,4,3850,378,True,False,False,True,True,False,False,True,4286.282336192113,4093.8248245974155,3886.8542226148415
,4,0,1024,64,0,1,1777.52,4,353,58,False,False,False,True,False,False,False,False,3898.3903195266953,3073.353869519215,3886.8542226148415
10.0,4,256,0,32,0,0,2267.46,3,3,0,True,False,False,True,False,False,False,False,3897.8312317176433,2297.5713661474792,3886.8542226148415
,4,1024,0,64,0,0,7289.46,3,0,0,False,False,False,True,False,False,True,False,4286.282336192113,5895.372838905774,5584.356976452875
,4,512,0,64,0,1,3699.0,4,134,22,False,False,False,True,False,True,False,True,3898.3903195266953,4721.051851405187,3886.8542226148415
,8,256,0,64,0,1,1781.46,4,77,9,True,False,False,True,False,True,False,True,3898.3903195266953,3555.7215701127607,3886.8542226148415
